"id","compound_public_id","source_type","food_id","food_name","orig_food_common_name","orig_food_scientific_name","orig_source_id","orig_source_name","orig_content_avg","orig_unit","citation","preparation_type"
1179786,12174,"Compound",164,"Sorrel","","","","",NA,"","MANUAL",""
1179787,12174,"Compound",165,"Common sage","","","","",NA,"","MANUAL",""
1179788,12174,"Compound",166,"Black elderberry","","","","",NA,"","MANUAL",""
1179789,12174,"Compound",167,"Summer savory","","","","",NA,"","MANUAL",""
1179790,12174,"Compound",168,"Winter savory","","","","",NA,"","MANUAL",""
1179791,12174,"Compound",169,"Rye","","","","",NA,"","MANUAL",""
1179792,12174,"Compound",170,"Sesame","","","","",NA,"","MANUAL",""
1179793,12174,"Compound",171,"Garden tomato","","","","",NA,"","MANUAL",""
1179794,12174,"Compound",172,"Cherry tomato","","","","",NA,"","MANUAL",""
2194925,12174,"Compound",173,"Garden tomato (var.)","","","","",NA,"","MANUAL",""
1179795,12174,"Compound",174,"Eggplant","","","","",NA,"","MANUAL",""
1179796,12174,"Compound",175,"Potato","","","","",NA,"","MANUAL",""
1179797,12174,"Compound",176,"Rowanberry","","","","",NA,"","MANUAL",""
1179798,12174,"Compound",177,"Sorghum","","","","",NA,"","MANUAL",""
1179799,12174,"Compound",178,"Spinach","","","","",NA,"","MANUAL",""
687704,12174,"Compound",179,"Cloves","Cloves","","646","Eugenol",12592.925048828,"mg/100g","PHENOL EXPLORER","other"
1179800,12174,"Compound",180,"Tamarind","","","","",NA,"","MANUAL",""
1179801,12174,"Compound",181,"Dandelion","","","","",NA,"","MANUAL",""
1179802,12174,"Compound",182,"Cocoa bean","","","","",NA,"","MANUAL",""
711970,12174,"Compound",183,"Common thyme","Common Thyme","Thymus vulgaris L. [Lamiaceae]","EUGENOL","EUGENOL",NA,"","DUKE","other"
1179803,12174,"Compound",185,"Small-leaf linden","","","","",NA,"","MANUAL",""
1179804,12174,"Compound",186,"Fenugreek","","","","",NA,"","MANUAL",""
1179805,12174,"Compound",187,"Common wheat","","","","",NA,"","MANUAL",""
1179806,12174,"Compound",188,"Vaccinium (Blueberry, Cranberry, Huckleberry)","","","","",NA,"","MANUAL",""
1179807,12174,"Compound",189,"Lowbush blueberry","","","","",NA,"","MANUAL",""
1179808,12174,"Compound",190,"Sparkleberry","","","","",NA,"","MANUAL",""
2198887,12174,"Compound",191,"Highbush blueberry","High-bush blueberry, frozen","","","",0.00012,"mg/100g","Timo Hirvi and Erkki Honkanen. The arome of blueberries. J. Sci. Food Agric. 1983, 34, 992-998. DOI: 10.1002/jsfa.2740340916","raw, frozen"
712854,12174,"Compound",192,"American cranberry","American Cranberry","Vaccinium macrocarpon AITON [Ericaceae]","EUGENOL","EUGENOL",NA,"","DUKE","raw"
2198921,12174,"Compound",193,"Bilberry","Bilberry, frozen","","","",1e-04,"mg/100g","Timo Hirvi and Erkki Honkanen. The arome of blueberries. J. Sci. Food Agric. 1983, 34, 992-998. DOI: 10.1002/jsfa.2740340916","raw, frozen"
