"klass","subklass","compound_public_id","compound_name","directparent","component"
"Flavonoids","Flavonoid glycosides","FDB000035","Peonidin 3-(6''-p-coumaroyl-glucoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB000040","Delphinidin 3-xyloside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB000041","Petunidin 3-(6''-p-coumaroyl-glucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB000064","Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB000075","Delphinidin 3-feruloylglucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB000680","Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001566","Cyanidin 3-O-(2""-xylosyl-6""-glucosyl-galactoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001569","Apigeninidin 5-(5''-caffeylarabinoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001570","Pelargonidin 3-p-coumarylglucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001571","Cyanidin 3-(6''-acetylglucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001573","Cyanidin 3-(3'',6''-dimalonylglucoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001574","Cyanidin 3-(6''-malonyllaminaribioside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001575","Cyanidin 3-O-(2""-xylosyl-6""-(6""'-p-hydroxybenzoyl-glucosyl)-galactoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001576","Cyanidin 3-O-(2""-xylosyl-6""-(6""'-p-coumaroyl-glucosyl)-galactoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001577","Cyanidin 3-(6''-p-coumarylsophoroside) 5-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001578","Cyanidin 3-(6''-caffeylsophoroside) 5-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
